fas_id,name,address,postcode,easting,northing,latitude,longitude,local_authority
173695,Ainsworth Arms,"606 Halliwell Road, Bolton",BL1 8BY,370302,411162.0,53.596181,-2.450192,Bolton
173699,Akua Lounge,"43-45 Bradshawgate, Bolton",BL1 1DR,371871,409158.0,53.578247,-2.426304,Bolton
173706,Albion Inn,"34-36 Moor Lane, Bolton",BL1 4TH,371302,409084.0,53.57756,-2.434891,Bolton
173753,Arkwrights Alehouse,"1 Valletts Lane, Bolton",BL1 6DT,370203,410406.0,53.589381,-2.451615,Bolton
173771,Astley Bridge Bowling Green Co Ltd,"Ivy Bank Road, Bolton",BL1 7JH,371383,412182.0,53.605409,-2.433953,Bolton
173772,Astley Bridge Conservative Club,"Moss Bank Way, Bolton",BL1 8NP,371363,411718.0,53.601238,-2.434212,Bolton
173773,Astley Bridge Cricket Club,"Moss Bank Way, Bolton",BL1 6PZ,370839,411588.0,53.60004,-2.442118,Bolton
173796,Balmoral Hotel,"94 Bradshawgate, Bolton",BL1 1QQ,371859,409058.0,53.577348,-2.426476,Bolton
173799,Bank Top Brewery Ale House,"36 Church Street, Horwich, Bolton",BL6 6AD,364501,411485.0,53.598722,-2.537874,Bolton
173813,Barnstormers Pub,"Lostock Lane, Lostock, Bolton",BL6 4BL,365242,409093.0,53.577273,-2.526411,Bolton
173815,Barristers At The Swan,"2-4 Churchgate, Bolton",BL1 1HJ,371863,409286.0,53.579397,-2.426437,Bolton
173863,Blackrod Conservative Club,"70 Church Street, Blackrod, Bolton",BL6 5EQ,361346,411020.0,53.594319,-2.585487,Bolton
173865,Blackrod Cricket Club,"Vicarage Road, Blackrod, Bolton",BL6 5AA,361720,410701.0,53.591479,-2.579797,Bolton
173873,Blue Boar Hotel,"96 Deansgate, Bolton",BL1 1BD,371528,409306.0,53.579559,-2.431498,Bolton
173874,Blundell Arms,"Chorley Old Road, Horwich, Bolton",BL6 6PY,366593,411090.0,53.59531,-2.506222,Bolton
173882,Bolton Castle,"520 Tonge Moor Road, Bolton",BL2 3BQ,372894,411134.0,53.596071,-2.411027,Bolton
173887,Bolton Cricket Club,"Bishops Road, Bolton",BL3 2JB,372474,406894.0,53.557939,-2.416997,Bolton
173901,Bolton Masonic Hall,"Institute Street, Bolton",BL1 1PZ,372048,409170.0,53.578365,-2.423632,Bolton
173907,Bolton Rugby Union F.C.,"Avenue Street, Bolton",BL1 3AW,370641,409968.0,53.585469,-2.444957,Bolton
173910,Bolton Snooker Club Ltd,"Units 1, 3, 5 Pilot Works, Manchester Road, Bolton",BL3 2ND,372789,407616.0,53.564454,-2.412305,Bolton
173911,Bolton Socialist Club,"16 Wood Street, Bolton",BL1 1DY,371908,409194.0,53.578582,-2.425749,Bolton
173915,Bolton Ukranian Social Club,"99 Castle Street, Bolton",BL2 1JP,372572,409075.0,53.577538,-2.41571,Bolton
173928,Bowling Green,"Bury Road, Bolton",BL2 6AX,373102,409400.0,53.580487,-2.407734,Bolton
173931,Bradford Arms,"45-47 Buckley Lane, Farnworth, Bolton",BL4 9PF,373496,405133.0,53.542173,-2.40142,Bolton
173933,Bradshaw Conservative Club,"Lea Gate, Bolton",BL2 3ET,373706,412187.0,53.605577,-2.398848,Bolton
173934,"Bradshaw Cricket, Tennis & Bowling Club","Rigby Lane, Bolton",BL2 3EL,373376,412396.0,53.607438,-2.403837,Bolton
173937,Brass Cat,"11-13 Churchgate, Bolton",BL1 1HU,371887,409332.0,53.579821,-2.426078,Bolton
